Imported Countries Edible,Value1,latitude,longitude
Argentina,5591.359,-34.6118,-58.4173
Canada,14528.479,45.4215,-75.6919
Chile                                   ,7391.572,-33.4489,-70.6693
China                                   ,269498.152,39.9042,116.4074
Denmark ,71126.048,55.6761,12.5683
Germany ,5818.692,52.52,13.405
India ,3914.323,28.6139,77.209
Indonesia ,113313.03,-6.2088,106.8456
Italy ,10116.317,41.9028,12.4964
Japan ,26938.035,35.682839,139.759455
"Korea, Republic of",11349.653,37.5665,126.978
Malaysia,69188.104,3.139,101.6869
Myanmar ,11973.255,16.8661,96.1951
Namibia ,9041.149,-22.5597,17.0832
New Zealand ,208235.932,-41.2865,174.7762
Norway,71117.267,59.9139,10.7522
Philippines ,7970.968,13.4124,122.5305
Poland,28337.142,52.2297,21.0122
Singapore ,5474.317,1.3521,103.8198
South Africa,33854.162,-25.7461,28.1881
Taiwan,50763.411,25.033,121.5654
Thailand,381292.513,13.7563,100.5018
United Kingdom,16248.045,51.5099,-0.118
United States,53554.388,38.8951,-77.0364
Vietnam,363192.339,21.0285,105.8542
