origin,latitude_o,longitude_o,destination_edible,latitude,longitude,count
Australia,-25.2744,133.7751,Argentina,-34.6118,-58.4173,5591.359
Australia,-25.2744,133.7751,Canada,45.4215,-75.6919,14528.479
Australia,-25.2744,133.7751,Chile                                   ,-33.4489,-70.6693,7391.572
Australia,-25.2744,133.7751,China                                   ,39.9042,116.4074,269498.152
Australia,-25.2744,133.7751,Denmark ,55.6761,12.5683,71126.048
Australia,-25.2744,133.7751,Germany ,52.52,13.405,5818.692
Australia,-25.2744,133.7751,India ,28.6139,77.209,3914.323
Australia,-25.2744,133.7751,Indonesia ,-6.2088,106.8456,113313.03
Australia,-25.2744,133.7751,Italy ,41.9028,12.4964,10116.317
Australia,-25.2744,133.7751,Japan ,35.682839,139.759455,26938.035
Australia,-25.2744,133.7751,"Korea, Republic of",37.5665,126.978,11349.653
Australia,-25.2744,133.7751,Malaysia,3.139,101.6869,69188.104
Australia,-25.2744,133.7751,Myanmar ,16.8661,96.1951,11973.255
Australia,-25.2744,133.7751,Namibia ,-22.5597,17.0832,9041.149
Australia,-25.2744,133.7751,New Zealand ,-41.2865,174.7762,208235.932
Australia,-25.2744,133.7751,Norway,59.9139,10.7522,71117.267
Australia,-25.2744,133.7751,Philippines ,13.4124,122.5305,7970.968
Australia,-25.2744,133.7751,Poland,52.2297,21.0122,28337.142
Australia,-25.2744,133.7751,Singapore ,1.3521,103.8198,5474.317
Australia,-25.2744,133.7751,South Africa,-25.7461,28.1881,33854.162
Australia,-25.2744,133.7751,Taiwan,25.033,121.5654,50763.411
Australia,-25.2744,133.7751,Thailand,13.7563,100.5018,381292.513
Australia,-25.2744,133.7751,United Kingdom,51.5099,-0.118,16248.045
Australia,-25.2744,133.7751,United States,38.8951,-77.0364,53554.388
Australia,-25.2744,133.7751,Vietnam,21.0285,105.8542,363192.339
