Apparent consumption,unit,1998–99,1999–00,2000–01,2001–02,2002–03,2003–04,2004–05,2005–06,2006–07,2007–08,2008–09,2009–10,2010–11,2011–12,2012–13,2013–14,2014–15,2015–16,2016–17,2017–18,2018–19,2019–20,2020–21 p,,,
Production of edible seafood a,t,168259,167072,171061,168607,172012,181699,176146,163941,164112,161041,159494,157497,156447,151615,152690,147767,157762,171556,165860,170522,178619,176318,196820,,,
Imports of edible seafood,t,132396,139062,143738,146054,164440,187836,186215,188312,198424,198273,193312,207439,211779,214244,228391,237511,227612,222778,226386,221589,221466,207047,222290,,,
Exports of edible seafood,t,61687,64842,66395,65930,61744,59839,58348,53285,49086,45032,47977,40896,42363,40461,35304,38904,43261,62055,51371,50741,45763,55914,62960,,,
Total apparent consumption of seafood,t,238968,241292,248403,248730,274709,309696,304013,298968,313450,314282,304829,324040,325863,325398,345777,346374,342113,332279,340875,341369,354322,327451,356150,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998–99,"2,109",0,238968,0,,,,,,,,,,,,,,,,,,,,,,,
1999–00,"2,367",0.174101611,241292,0.019832397,,,,,,,,,,,,,,,,,,,,,,,
2000–01,"2,464",0.234200743,248403,0.080515779,,,,,,,,,,,,,,,,,,,,,,,
2001–02,"2,445",0.222428748,248730,0.08330631,,,,,,,,,,,,,,,,,,,,,,,
2002–03,"2,288",0.125154895,274709,0.305004182,,,,,,,,,,,,,,,,,,,,,,,
2003–04,"2,188",0.063197026,309696,0.603573928,,,,,,,,,,,,,,,,,,,,,,,
2004–05,"2,086",0,304013,0.555076718,,,,,,,,,,,,,,,,,,,,,,,
2005–06,"2,167",0.050185874,298968,0.512024031,,,,,,,,,,,,,,,,,,,,,,,
2006–07,"2,217",0.081164808,313450,0.635609565,,,,,,,,,,,,,,,,,,,,,,,
2007–08,"2,207",0.074969021,314282,0.642709631,,,,,,,,,,,,,,,,,,,,,,,
2008–09,"2,214",0.079306072,304829,0.562040245,,,,,,,,,,,,,,,,,,,,,,,
2009–10,"2,192",0.065675341,324040,0.725981806,,,,,,,,,,,,,,,,,,,,,,,
2010–11,"2,241",0.096034696,325863,0.741538803,,,,,,,,,,,,,,,,,,,,,,,
2011–12,"2,305",0.135687732,325398,0.737570617,,,,,,,,,,,,,,,,,,,,,,,
2012–13,"2,386",0.185873606,345777,0.911479579,,,,,,,,,,,,,,,,,,,,,,,
2013–14,"2,473",0.239776952,346374,0.916574218,,,,,,,,,,,,,,,,,,,,,,,
2014–15,"2,764",0.420074349,342113,0.880211978,,,,,,,,,,,,,,,,,,,,,,,
2015–16,"3,020",0.578686493,332279,0.796291239,,,,,,,,,,,,,,,,,,,,,,,
2016–17,"3,058",0.602230483,340875,0.869647215,,,,,,,,,,,,,,,,,,,,,,,
2017–18,"3,178",0.676579926,341369,0.87386288,,,,,,,,,,,,,,,,,,,,,,,
2018–19,"3,210",0.696406444,354322,0.984400335,,,,,,,,,,,,,,,,,,,,,,,
2019–20,"3,133",0.648698885,327451,0.755090372,,,,,,,,,,,,,,,,,,,,,,,
2020–21,"3,071",0.610285006,356150,1,,,,,,,,,,,,,,,,,,,,,,,
2021–22 s,"3,357",0.787484511,,,,,,,,,,,,,,,,,,,,,,,,,
2022–23 f,"3,631",0.957249071,,,,,,,,,,,,,,,,,,,,,,,,,
2023–24 f,"3,700",1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,086",238968,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,700",356150,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,614",117182,,,,,,,,,,,,,,,,,,,,,,,,,,
